date,ticker,sentiment,risk,action,action_value,price,portfolio_value
2024-02-19,HDFCLIFE,0.0,0.5,HOLD,-0.025145696,581.6090087890625,1020513.9380136871
2024-02-20,KOTAKBANK,0.625,0.375,BUY,0.13517132,351.7085876464844,1016678.4029032135
2024-02-20,SBIN,-1.0,0.5,BUY,0.121965215,732.8483276367188,1016678.4029032135
2024-02-20,HINDALCO,0.0,0.5,BUY,0.1144733,504.9806518554687,1016678.4029032135
2024-02-20,BAJAJ-AUTO,0.0,0.5,SELL,-0.06693736,8024.9423828125,1016678.4029032135
2024-02-20,DIVISLAB,0.0,0.5,HOLD,-0.045004524,3673.375244140625,1016678.4029032135
2024-02-20,TATASTEEL,0.0,0.25,HOLD,-0.04179112,135.11337280273438,1016678.4029032135
2024-02-21,EICHERMOT,0.0,0.5,BUY,0.13706443,3745.739990234375,1023827.4041544342
2024-02-21,SBIN,0.0,0.5,BUY,0.11686886,743.839599609375,1023827.4041544342
2024-02-21,BAJAJFINSV,0.0,0.5,BUY,0.11182846,1585.177001953125,1023827.4041544342
2024-02-21,TATASTEEL,0.6428571428571429,0.3571428571428571,SELL,-0.06462373,137.84341430664062,1023827.4041544342
2024-02-21,BAJAJ-AUTO,0.0,0.5,HOLD,-0.038012877,7964.04296875,1023827.4041544342
2024-02-21,HDFCLIFE,0.0,0.5,HOLD,-0.036447477,573.9065551757812,1023827.4041544342
2024-02-22,KOTAKBANK,0.0,0.5,BUY,0.122436956,344.175537109375,1024568.5242868805
2024-02-22,SBIN,-0.1666666666666666,0.4166666666666667,BUY,0.107258916,738.4403686523438,1024568.5242868805
2024-02-22,RELIANCE,0.5,0.25,BUY,0.105191976,1470.8634033203125,1024568.5242868805
2024-02-22,BAJAJ-AUTO,0.0,0.5,SELL,-0.052017365,8221.5703125,1024568.5242868805
2024-02-22,TATASTEEL,0.5,0.3333333333333333,HOLD,-0.0434677,139.7592315673828,1024568.5242868805
2024-02-22,SUNPHARMA,0.0,0.5,HOLD,-0.038876228,1528.8245849609375,1024568.5242868805
2024-02-23,KOTAKBANK,0.0,0.5,BUY,0.12019104,344.02587890625,1019249.9492136383
2024-02-23,SBIN,-0.25,0.5,BUY,0.108571,731.8359375,1019249.9492136383
2024-02-23,BAJAJFINSV,0.0,0.5,BUY,0.10452214,1614.7440185546875,1019249.9492136383
2024-02-23,BAJAJ-AUTO,-0.0714285714285714,0.3928571428571428,SELL,-0.061024707,8162.07470703125,1019249.9492136383
2024-02-23,TATASTEEL,0.0,0.5,SELL,-0.054408174,139.32818603515625,1019249.9492136383
2024-02-23,DIVISLAB,0.0,0.5,HOLD,-0.03847626,3609.4111328125,1019249.9492136383
2024-02-26,EICHERMOT,0.0,0.5,BUY,0.13016546,3859.5859375,1022898.8995170136
2024-02-26,KOTAKBANK,0.0,0.5,BUY,0.1259711,340.4938049316406,1022898.8995170136
2024-02-26,BAJAJFINSV,-0.5,0.5,BUY,0.107517,1612.49658203125,1022898.8995170136
2024-02-26,TATASTEEL,-0.5,0.5,SELL,-0.057015717,136.64602661132812,1022898.8995170136
2024-02-26,BAJAJ-AUTO,0.0,0.4,HOLD,-0.03174004,8172.76416015625,1022898.8995170136
2024-02-26,DIVISLAB,-1.0,0.5,HOLD,-0.03173751,3539.4111328125,1022898.8995170136
2024-02-27,EICHERMOT,0.0,0.5,BUY,0.14365132,3908.209716796875,1005301.6396293183
2024-02-27,KOTAKBANK,0.0,0.5,BUY,0.13479482,340.5836181640625,1005301.6396293183
2024-02-27,BAJAJFINSV,-0.5,0.5,BUY,0.124422066,1598.8118896484375,1005301.6396293183
2024-02-27,BAJAJ-AUTO,0.0,0.5,SELL,-0.054407507,8187.75927734375,1005301.6396293183
2024-02-27,M&M,0.0,0.5,HOLD,-0.030278206,1920.988037109375,1005301.6396293183
2024-02-27,SUNPHARMA,0.75,0.375,HOLD,-0.028656032,1553.0611572265625,1005301.6396293183
2024-02-28,EICHERMOT,-0.25,0.375,BUY,0.12083979,3772.49267578125,1007664.1396750946
2024-02-28,KOTAKBANK,-0.5,0.5,BUY,0.11706881,335.9639892578125,1007664.1396750946
2024-02-28,BAJAJFINSV,-0.5,0.3333333333333333,BUY,0.108062595,1582.7298583984375,1007664.1396750946
2024-02-28,TATASTEEL,0.0,0.5,HOLD,-0.040131524,134.82598876953125,1007664.1396750946
2024-02-28,SUNPHARMA,0.0,0.5,HOLD,-0.035276044,1544.3280029296875,1007664.1396750946
2024-02-28,DIVISLAB,-0.125,0.4375,HOLD,-0.02852322,3481.037109375,1007664.1396750946
2024-02-29,EICHERMOT,-0.7142857142857143,0.5357142857142857,BUY,0.13345341,3702.82763671875,1025550.8317527313
2024-02-29,BAJAJFINSV,0.0,0.5,BUY,0.13256499,1592.01953125,1025550.8317527313
2024-02-29,SBIN,0.5,0.25,BUY,0.11313912,721.278564453125,1025550.8317527313
2024-02-29,TATASTEEL,0.0,0.5,SELL,-0.051837124,134.92178344726562,1025550.8317527313
2024-02-29,BAJAJ-AUTO,0.0,0.5,HOLD,-0.045894243,7651.6630859375,1025550.8317527313
2024-02-29,SUNPHARMA,1.0,0.25,HOLD,-0.037460897,1548.3511962890625,1025550.8317527313
2024-03-01,EICHERMOT,0.5,0.5,BUY,0.14194325,3752.77001953125,1021602.1096610565
2024-03-01,SBIN,0.0,0.5,BUY,0.12739997,741.5738525390625,1021602.1096610565
2024-03-01,COALINDIA,0.5555555555555556,0.3611111111111111,BUY,0.11240068,392.4375915527344,1021602.1096610565
2024-03-01,TATASTEEL,1.0,0.375,SELL,-0.06870261,143.63877868652344,1021602.1096610565
2024-03-01,HDFCLIFE,0.6,0.3,SELL,-0.062704004,586.3298950195312,1021602.1096610565
2024-03-01,BAJAJ-AUTO,0.5,0.3333333333333333,HOLD,-0.034591224,7778.10498046875,1021602.1096610565
2024-03-04,EICHERMOT,0.0,0.5,BUY,0.12049006,3662.84521484375,1018826.3825339813
2024-03-04,SBIN,0.0,0.5,BUY,0.11446666,744.369873046875,1018826.3825339813
2024-03-04,BAJAJFINSV,-0.5,0.375,BUY,0.11422062,1617.490966796875,1018826.3825339813
2024-03-04,TATASTEEL,0.0,0.5,SELL,-0.06297604,146.6562042236328,1018826.3825339813
2024-03-04,BAJAJ-AUTO,1.0,0.25,HOLD,-0.042181335,7939.90625,1018826.3825339813
2024-03-04,AXISBANK,-0.125,0.4375,HOLD,-0.03395055,1104.9521484375,1018826.3825339813
2024-03-05,EICHERMOT,0.0,0.5,BUY,0.12629911,3702.339599609375,1019961.220012619
2024-03-05,BHARTIARTL,1.0,0.75,BUY,0.122890085,1152.784912109375,1019961.220012619
2024-03-05,COALINDIA,0.0,0.5,BUY,0.12194562,405.0104064941406,1019961.220012619
2024-03-05,TATASTEEL,0.0,0.5,SELL,-0.0632786,145.4588165283203,1019961.220012619
2024-03-05,HDFCLIFE,0.0,0.25,HOLD,-0.048273284,603.970947265625,1019961.220012619
